pareja,grupo,etapa,descriptor,notas,env_parent,fine_parent,method,n_bands,align,warp,color_mix,a_floor_db,stats_finish,duration_s,seed,mci,sso,dop,bri,fci,register_target_hz,register_achieved_hz,register_error_hz,register_before_move_hz,register_clamped,moved_parent,align_noop,warp_method,n_anchors,n_onsets_matched,n_onsets_total,warp_max_rate_dev,parametros_inertes,n_bandas_huerfanas_a,crest_db,rms_grave_db,rms_aguda_db,exportado,rank_export,wav_path,factor_rms_aplicado,metodo_igualacion,pico_recortado,rms_final_db_vs_objetivo,rank_etapa1_ref,render_s
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix0.00__warp-off,,canica,fuego,chimera,2,False,False,0.0,-40.0,False,6.0,42,0.614613,0.847642,0.268817,0.0,0.257392,,,,,False,,False,,,,,,,0,14.681073,-25.050855,-23.383009,True,muestra1,escucha_AB/fusion_v12/canica_hecha_de_fuego/muestra1__align-off__nb2__mix0.00__warp-off.wav,0.228239,linear,False,0.0,,4.065717
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix0.00__warp-on,,canica,fuego,chimera,2,False,True,0.0,-40.0,False,6.0,42,0.491311,0.847642,0.454545,0.0,0.133857,,,,,False,,False,signal_warp,73,37,39,0.565301,,0,16.204624,-26.750878,-24.213157,,,,,,,,,1.873685
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix0.25__warp-off,,canica,fuego,chimera,2,False,False,0.25,-40.0,False,6.0,42,0.614404,0.847642,0.272401,0.0,0.256202,,,,,False,,False,,,,,,,0,14.703331,-25.210037,-23.360446,,,,,,,,,0.925765
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix0.25__warp-on,,canica,fuego,chimera,2,False,True,0.25,-40.0,False,6.0,42,0.491275,0.847642,0.454545,0.0,0.133838,,,,,False,,False,signal_warp,73,37,39,0.565301,,0,16.204391,-26.755314,-24.211342,,,,,,,,,1.890385
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix0.50__warp-off,,canica,fuego,chimera,2,False,False,0.5,-40.0,False,6.0,42,0.614218,0.847642,0.266904,0.0,0.257749,,,,,False,,False,,,,,,,0,14.724083,-25.365799,-23.338432,,,,,,,,,0.934153
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix0.50__warp-on,,canica,fuego,chimera,2,False,True,0.5,-40.0,False,6.0,42,0.49124,0.847642,0.454545,0.0,0.133818,,,,,False,,False,signal_warp,73,37,39,0.565301,,0,16.204157,-26.759747,-24.209528,,,,,,,,,1.882769
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix0.75__warp-off,,canica,fuego,chimera,2,False,False,0.75,-40.0,False,6.0,42,0.614043,0.847642,0.252632,0.0,0.261934,,,,,False,,False,,,,,,,0,14.743401,-25.518041,-23.316958,,,,,,,,,0.943483
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix0.75__warp-on,,canica,fuego,chimera,2,False,True,0.75,-40.0,False,6.0,42,0.491204,0.847642,0.454545,0.0,0.133799,,,,,False,,False,signal_warp,73,37,39,0.565301,,0,16.203923,-26.764177,-24.207716,,,,,,,,,1.895228
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix1.00__warp-off,,canica,fuego,chimera,2,False,False,1.0,-40.0,False,6.0,42,0.613874,0.847642,0.265734,0.0,0.25791,,,,,False,,False,,,,,,,0,14.761354,-25.666675,-23.296017,True,muestra6,escucha_AB/fusion_v12/canica_hecha_de_fuego/muestra6__align-off__nb2__mix1.00__warp-off.wav,0.230358,linear,False,0.0,,0.954672
canica_hecha_de_fuego,chimera_grid,1,align-off__nb2__mix1.00__warp-on,,canica,fuego,chimera,2,False,True,1.0,-40.0,False,6.0,42,0.491169,0.847642,0.447964,0.0,0.135754,,,,,False,,False,signal_warp,73,37,39,0.565301,,0,16.203687,-26.768604,-24.205906,,,,,,,,,1.879339
